Match_ID,Player_ID,Blind,Preflop,Flop,Turn,River,Showdown,Winner,PFRF,PlayerID,matches_played,matches_pfrf,pfrf_percent,num_wins,win_percent,c_t_bets_per,s_rat,cluster,normal_rating
#302188473,hITZjEBDFIt6lJqZ/v21fw,0,folds,0,0,0,0,FALSE,1,41,86,34,0.395348837,27,0.313953488,48,0.558139535,3,0.497328724
#302188473,468IPLRNnM70CzKR7wjiIA,0,folds,0,0,0,0,FALSE,1,4,234,151,0.645299145,59,0.252136752,104,0.444444444,2,0.357761608
#302188473,J/MRE0h1byBxOS3nscCzRg,0,folds,0,0,0,0,FALSE,1,20,199,158,0.793969849,28,0.140703518,34,0.170854271,0,0.020202363
#302187780,iiZwyGkuKmo3uwxjNnu1ng,posts,folds,0,0,0,0,FALSE,1,44,100,38,0.38,46,0.46,58,0.58,4,0.773648649
#302187780,54c64l5WMSZB3aVozJsbfw,posts,0,won,0,0,0,TRUE,0,6,85,54,0.635294118,44,0.517647059,40,0.470588235,3,0.696740859
#302187803,54c64l5WMSZB3aVozJsbfw,posts,raises,returned,won,0,0,TRUE,1,6,85,54,0.635294118,44,0.517647059,40,0.470588235,3,0.696740859
#302187803,iiZwyGkuKmo3uwxjNnu1ng,posts,calls,folds,0,0,0,FALSE,0,44,100,38,0.38,46,0.46,58,0.58,4,0.773648649
#302188581,V1tBWCstw/IRehRmisMDJg,0,folds,0,0,0,0,FALSE,1,28,181,153,0.845303867,25,0.138121547,33,0.182320442,0,0.026131103
#302188581,2Ez5c6bXau0gBfNkgjka6w,posts,raises,returned,won,0,0,TRUE,1,2,60,51,0.85,9,0.15,14,0.233333333,0,0.033783784
#302188581,hITZjEBDFIt6lJqZ/v21fw,posts,folds,0,0,0,0,FALSE,1,41,86,34,0.395348837,27,0.313953488,48,0.558139535,3,0.497328724
#302188581,468IPLRNnM70CzKR7wjiIA,0,calls,folds,0,0,0,FALSE,0,4,234,151,0.645299145,59,0.252136752,104,0.444444444,2,0.357761608
#302188581,J/MRE0h1byBxOS3nscCzRg,0,calls,folds,0,0,0,FALSE,0,20,199,158,0.793969849,28,0.140703518,34,0.170854271,0,0.020202363
#302188581,ZvUzSVOOKZwfU5rLMFTUFg,0,folds,0,0,0,0,FALSE,1,32,87,72,0.827586207,14,0.16091954,16,0.183908046,0,0.028347313
#302187863,iiZwyGkuKmo3uwxjNnu1ng,posts,folds,0,0,0,0,FALSE,1,44,100,38,0.38,46,0.46,58,0.58,4,0.773648649
#302187863,54c64l5WMSZB3aVozJsbfw,posts,0,won,0,0,0,TRUE,0,6,85,54,0.635294118,44,0.517647059,40,0.470588235,3,0.696740859
#302187884,54c64l5WMSZB3aVozJsbfw,posts,raises,returned,won,0,0,TRUE,1,6,85,54,0.635294118,44,0.517647059,40,0.470588235,3,0.696740859
#302187884,iiZwyGkuKmo3uwxjNnu1ng,posts,calls,folds,0,0,0,FALSE,0,44,100,38,0.38,46,0.46,58,0.58,4,0.773648649
#302187933,iiZwyGkuKmo3uwxjNnu1ng,posts,calls,folds,0,0,0,FALSE,0,44,100,38,0.38,46,0.46,58,0.58,4,0.773648649
#302187933,54c64l5WMSZB3aVozJsbfw,posts,raises,returned,won,0,0,TRUE,1,6,85,54,0.635294118,44,0.517647059,40,0.470588235,3,0.696740859
#302188742,2Ez5c6bXau0gBfNkgjka6w,0,folds,0,0,0,0,FALSE,1,2,60,51,0.85,9,0.15,14,0.233333333,0,0.033783784
#302188742,hITZjEBDFIt6lJqZ/v21fw,posts,all-in(raise),0,0,0,shows,FALSE,0,41,86,34,0.395348837,27,0.313953488,48,0.558139535,3,0.497328724
#302188742,468IPLRNnM70CzKR7wjiIA,posts,folds,0,0,0,0,FALSE,1,4,234,151,0.645299145,59,0.252136752,104,0.444444444,2,0.357761608
#302188742,J/MRE0h1byBxOS3nscCzRg,0,folds,0,0,0,0,FALSE,1,20,199,158,0.793969849,28,0.140703518,34,0.170854271,0,0.020202363
#302188742,ZvUzSVOOKZwfU5rLMFTUFg,0,calls,0,0,0,won,TRUE,0,32,87,72,0.827586207,14,0.16091954,16,0.183908046,0,0.028347313
#302188742,V1tBWCstw/IRehRmisMDJg,0,folds,0,0,0,0,FALSE,1,28,181,153,0.845303867,25,0.138121547,33,0.182320442,0,0.026131103
#302187991,54c64l5WMSZB3aVozJsbfw,posts,folds,0,0,0,0,FALSE,1,6,85,54,0.635294118,44,0.517647059,40,0.470588235,3,0.696740859
#302187991,iiZwyGkuKmo3uwxjNnu1ng,posts,0,won,0,0,0,TRUE,0,44,100,38,0.38,46,0.46,58,0.58,4,0.773648649
#302188014,iiZwyGkuKmo3uwxjNnu1ng,posts,returned,won,0,0,0,TRUE,0,44,100,38,0.38,46,0.46,58,0.58,4,0.773648649
#302188014,54c64l5WMSZB3aVozJsbfw,posts,folds,0,0,0,0,FALSE,1,6,85,54,0.635294118,44,0.517647059,40,0.470588235,3,0.696740859
#302188042,54c64l5WMSZB3aVozJsbfw,posts,raises,bets,checks,checks,mucks,FALSE,1,6,85,54,0.635294118,44,0.517647059,40,0.470588235,3,0.696740859
#302188042,iiZwyGkuKmo3uwxjNnu1ng,posts,calls,calls,checks,checks,won,TRUE,0,44,100,38,0.38,46,0.46,58,0.58,4,0.773648649
#302188870,468IPLRNnM70CzKR7wjiIA,posts,folds,0,0,0,0,FALSE,1,4,234,151,0.645299145,59,0.252136752,104,0.444444444,2,0.357761608
#302188870,J/MRE0h1byBxOS3nscCzRg,posts,calls,bets,checks,checks,shows,FALSE,0,20,199,158,0.793969849,28,0.140703518,34,0.170854271,0,0.020202363
#302188870,ZvUzSVOOKZwfU5rLMFTUFg,0,folds,0,0,0,0,FALSE,1,32,87,72,0.827586207,14,0.16091954,16,0.183908046,0,0.028347313
#302188870,V1tBWCstw/IRehRmisMDJg,0,raises,calls,checks,checks,won,TRUE,1,28,181,153,0.845303867,25,0.138121547,33,0.182320442,0,0.026131103
#302188870,2Ez5c6bXau0gBfNkgjka6w,0,folds,0,0,0,0,FALSE,1,2,60,51,0.85,9,0.15,14,0.233333333,0,0.033783784
#302188117,iiZwyGkuKmo3uwxjNnu1ng,posts,folds,0,0,0,0,FALSE,1,44,100,38,0.38,46,0.46,58,0.58,4,0.773648649
#302188117,54c64l5WMSZB3aVozJsbfw,posts,0,won,0,0,0,TRUE,0,6,85,54,0.635294118,44,0.517647059,40,0.470588235,3,0.696740859
#302188151,54c64l5WMSZB3aVozJsbfw,posts,folds,0,0,0,0,FALSE,1,6,85,54,0.635294118,44,0.517647059,40,0.470588235,3,0.696740859
#302188151,iiZwyGkuKmo3uwxjNnu1ng,posts,0,won,0,0,0,TRUE,0,44,100,38,0.38,46,0.46,58,0.58,4,0.773648649
#302188170,iiZwyGkuKmo3uwxjNnu1ng,posts,folds,0,0,0,0,FALSE,1,44,100,38,0.38,46,0.46,58,0.58,4,0.773648649
#302188170,54c64l5WMSZB3aVozJsbfw,posts,0,won,0,0,0,TRUE,0,6,85,54,0.635294118,44,0.517647059,40,0.470588235,3,0.696740859
#302188203,54c64l5WMSZB3aVozJsbfw,posts,raises,bets,checks,folds,0,FALSE,1,6,85,54,0.635294118,44,0.517647059,40,0.470588235,3,0.696740859
#302188203,iiZwyGkuKmo3uwxjNnu1ng,posts,calls,calls,checks,returned,won,TRUE,0,44,100,38,0.38,46,0.46,58,0.58,4,0.773648649
#302189057,468IPLRNnM70CzKR7wjiIA,0,folds,0,0,0,0,FALSE,1,4,234,151,0.645299145,59,0.252136752,104,0.444444444,2,0.357761608
#302189057,J/MRE0h1byBxOS3nscCzRg,posts,folds,0,0,0,0,FALSE,1,20,199,158,0.793969849,28,0.140703518,34,0.170854271,0,0.020202363
#302189057,ZvUzSVOOKZwfU5rLMFTUFg,posts,0,won,0,0,0,TRUE,0,32,87,72,0.827586207,14,0.16091954,16,0.183908046,0,0.028347313
#302189057,V1tBWCstw/IRehRmisMDJg,0,folds,0,0,0,0,FALSE,1,28,181,153,0.845303867,25,0.138121547,33,0.182320442,0,0.026131103
#302189057,hITZjEBDFIt6lJqZ/v21fw,0,folds,0,0,0,0,FALSE,1,41,86,34,0.395348837,27,0.313953488,48,0.558139535,3,0.497328724
#302189137,J/MRE0h1byBxOS3nscCzRg,0,folds,0,0,0,0,FALSE,1,20,199,158,0.793969849,28,0.140703518,34,0.170854271,0,0.020202363
#302189137,ZvUzSVOOKZwfU5rLMFTUFg,posts,folds,0,0,0,0,FALSE,1,32,87,72,0.827586207,14,0.16091954,16,0.183908046,0,0.028347313
#302189137,V1tBWCstw/IRehRmisMDJg,posts,folds,0,0,0,0,FALSE,1,28,181,153,0.845303867,25,0.138121547,33,0.182320442,0,0.026131103
#302189137,FT4024kB621B4tqCTQHY3w,sitout,0,0,0,0,0,FALSE,0,16,23,19,0.826086957,4,0.173913043,4,0.173913043,0,0.029377203
#302189137,hITZjEBDFIt6lJqZ/v21fw,0,folds,0,0,0,0,FALSE,1,41,86,34,0.395348837,27,0.313953488,48,0.558139535,3,0.497328724
#302189137,468IPLRNnM70CzKR7wjiIA,0,returned,won,0,0,0,TRUE,0,4,234,151,0.645299145,59,0.252136752,104,0.444444444,2,0.357761608
#302188281,iiZwyGkuKmo3uwxjNnu1ng,posts,returned,won,0,0,0,TRUE,0,44,100,38,0.38,46,0.46,58,0.58,4,0.773648649
